
Processing PeakSearchReadable.cxx...
Looking in directory /w/work2/home/oliver/APEX/peaksearch/JWMaster
401 files in search directory
For mass 163.75 MeV, p-value is 0.995755
For mass 163 MeV, p-value is 0.999959
For mass 164.25 MeV, p-value is 0.989978
For mass 164.5 MeV, p-value is 0.971629
For mass 164.75 MeV, p-value is 0.926437
For mass 164 MeV, p-value is 0.994908
For mass 165.25 MeV, p-value is 0.97278
For mass 165.5 MeV, p-value is 0.977363
For mass 165.75 MeV, p-value is 0.955166
For mass 165 MeV, p-value is 0.982674
For mass 166.25 MeV, p-value is 0.923258
For mass 166.5 MeV, p-value is 0.911635
For mass 166.75 MeV, p-value is 0.903689
For mass 166 MeV, p-value is 0.940514
For mass 167.25 MeV, p-value is 0.945851
For mass 167.5 MeV, p-value is 0.924863
For mass 167.75 MeV, p-value is 0.908556
For mass 167 MeV, p-value is 0.909871
For mass 168.25 MeV, p-value is 0.938189
For mass 168.5 MeV, p-value is 0.919954
For mass 168.75 MeV, p-value is 0.929741
For mass 168 MeV, p-value is 0.943353
For mass 169.25 MeV, p-value is 0.928793
For mass 169.5 MeV, p-value is 0.905573
For mass 169.75 MeV, p-value is 0.9052
For mass 169 MeV, p-value is 0.94269
For mass 170.25 MeV, p-value is 0.920122
For mass 170.5 MeV, p-value is 0.924117
For mass 170.75 MeV, p-value is 0.914209
For mass 170 MeV, p-value is 0.914048
For mass 171.25 MeV, p-value is 0.914067
For mass 171.5 MeV, p-value is 0.887547
For mass 171.75 MeV, p-value is 0.917613
For mass 171 MeV, p-value is 0.912712
For mass 172.25 MeV, p-value is 0.96156
For mass 172.5 MeV, p-value is 0.966553
For mass 172.75 MeV, p-value is 0.967951
For mass 172 MeV, p-value is 0.930832
For mass 173.25 MeV, p-value is 0.97626
For mass 173.5 MeV, p-value is 0.982337
For mass 173.75 MeV, p-value is 0.978152
For mass 173 MeV, p-value is 0.97384
For mass 174.25 MeV, p-value is 0.98858
For mass 174.5 MeV, p-value is 0.988226
For mass 174.75 MeV, p-value is 0.981767
For mass 174 MeV, p-value is 0.988269
For mass 175.25 MeV, p-value is 0.987728
For mass 175.5 MeV, p-value is 0.993284
For mass 175.75 MeV, p-value is 0.990335
For mass 175 MeV, p-value is 0.980724
For mass 176.25 MeV, p-value is 0.969217
For mass 176.5 MeV, p-value is 0.964876
For mass 176.75 MeV, p-value is 0.958509
For mass 176 MeV, p-value is 0.98235
For mass 177.25 MeV, p-value is 0.973517
For mass 177.5 MeV, p-value is 0.971723
For mass 177.75 MeV, p-value is 0.975648
For mass 177 MeV, p-value is 0.963881
For mass 178.25 MeV, p-value is 0.970728
